
 
,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
,,,,,,,,,,,,,,,,,,,
191,Ohio State,1904,2023,112,1175,845,264,36,.754,55,27,28,0,.491,15.24,5.97,62,40,record adjusted to 833-263-36 by NCAA
192,Oklahoma,1903,2023,115,1257,881,318,47,.726,56,31,24,1,.563,12.36,3.58,61,49,
193,Oklahoma State,1914,2023,110,1172,594,531,41,.527,33,21,12,0,.636,2.71,1.95,16,10,
194,Old Dominion,2014,2023,10,98,40,58,0,.408,2,1,1,0,.500,-9.71,-5.10,0,0,
195,Ole Miss,1902,2023,118,1233,668,526,34,.558,40,25,15,0,.625,4.91,2.85,26,6,record adjusted to 639-522-34 by NCAA
196,Oregon,1916,2023,106,1127,615,467,34,.566,36,16,20,0,.444,5.54,3.29,19,13,record adjusted to 616-466-34 by NCAA
197,Oregon State,1916,2023,106,1109,484,585,36,.454,17,10,7,0,.588,1.74,3.53,11,5,record adjusted to 488-581-36 by NCAA
198,Pacific,1943,1995,47,498,209,280,9,.429,2,1,1,0,.500,-7.80,-5.74,1,0,record adjusted to 211-278-9 by NCAA
199,Penn State,1889,2023,130,1333,898,398,37,.688,52,31,19,2,.615,9.25,2.29,44,4,
200,Pennsylvania,1876,1981,105,1027,618,369,40,.621,1,0,1,0,.000,3.33,-0.42,7,1,
201,Phillips,1920,1921,2,19,7,8,4,.474,0,0,0,0,,-6.92,-5.01,0,0,
202,Pitt,1905,2023,119,1254,709,499,37,.584,37,15,22,0,.405,7.24,4.13,21,3,record adjusted to 710-498-37 by NCAA
203,Portland,1946,1947,2,19,3,15,1,.184,0,0,0,0,,-21.01,-10.83,0,0,
204,Prairie View A&M,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-19.35,-10.35,0,0,
205,Presbyterian,1915,1945,16,127,58,63,6,.480,0,0,0,0,,-5.56,-4.99,0,0,
206,Princeton,1869,1981,109,918,637,233,48,.720,0,0,0,0,,6.03,-1.29,4,5,
